M,N,Processos,Tempo_s
512,512,2,0.001303
512,512,4,0.000824
512,512,8,0.000590
512,512,16,0.000528
512,512,32,0.000644
1024,1024,2,0.003884
1024,1024,4,0.004689
1024,1024,8,0.005086
1024,1024,16,0.001476
1024,1024,32,0.001352
2048,2048,2,0.015329
2048,2048,4,0.016229
2048,2048,8,0.017352
2048,2048,16,0.005864
2048,2048,32,0.005187
4096,4096,2,0.060300
4096,4096,4,0.057118
4096,4096,8,0.058595
4096,4096,16,0.016537
4096,4096,32,0.019360
8192,8192,2,0.237546
8192,8192,4,0.224095
8192,8192,8,0.224974
8192,8192,16,0.055053
8192,8192,32,0.062846